lat,lon
51.5355784,-0.1326513
51.5369331,-0.1326728
51.5375137,-0.1311815
51.5362925,-0.1297438
51.5379275,-0.1275229
51.5394756,-0.1246798
51.5411973,-0.1250768
51.5422649,-0.1257098
51.5475026,-0.1270294
51.5483133,-0.1279736
51.5490805,-0.1295239
51.5496142,-0.1301408
51.5507117,-0.1307148
51.5514622,-0.1309508
51.5540406,-0.134958
51.5547811,-0.1355052
51.5552814,-0.1370394
51.556909,-0.138402
51.5594104,-0.1401186
51.5582765,-0.1432514
51.5567423,-0.1466417
51.5552847,-0.1450968
51.5540106,-0.1440829
51.5529199,-0.1422483
51.5512721,-0.1407194
51.5508518,-0.1406336
51.5482132,-0.1412076
51.5465319,-0.1417762
51.5449739,-0.1415563
51.5437796,-0.1416153
51.5390552,-0.1424253
51.5404966,-0.1398182
